metadata features: 19 (age_z, sex_female, sex_male, sex_unknown, loc_abdomen, ...)
device: mps | resolution: 128 | seeds: [1, 2, 3]
channel means: [0.765 0.548 0.574] | stds: [0.138 0.15  0.166]
parameters: 4,723,725
seed 2 | epoch 19/50 | train loss 1.3851 | val acc 0.6603 | macroF1 0.4851
seed 2 | epoch 20/50 | train loss 1.3647 | val acc 0.7381 | macroF1 0.4490
seed 2 | epoch 21/50 | train loss 1.3479 | val acc 0.7230 | macroF1 0.5464  <- best
seed 2 | epoch 22/50 | train loss 1.3380 | val acc 0.7614 | macroF1 0.5445
seed 2 | epoch 23/50 | train loss 1.3218 | val acc 0.7796 | macroF1 0.5812  <- best
seed 2 | epoch 24/50 | train loss 1.3214 | val acc 0.7442 | macroF1 0.5596
seed 2 | epoch 25/50 | train loss 1.3118 | val acc 0.7634 | macroF1 0.5813  <- best
seed 2 | epoch 26/50 | train loss 1.3119 | val acc 0.7462 | macroF1 0.5398
seed 2 | epoch 27/50 | train loss 1.2904 | val acc 0.7745 | macroF1 0.6133  <- best
seed 2 | epoch 28/50 | train loss 1.2904 | val acc 0.7412 | macroF1 0.5660
seed 2 | epoch 29/50 | train loss 1.2743 | val acc 0.7644 | macroF1 0.5834
seed 2 | epoch 30/50 | train loss 1.2826 | val acc 0.7482 | macroF1 0.5788
seed 2 | epoch 31/50 | train loss 1.2633 | val acc 0.7492 | macroF1 0.6039
seed 2 | epoch 32/50 | train loss 1.2566 | val acc 0.7998 | macroF1 0.6314  <- best
seed 2 | epoch 33/50 | train loss 1.2450 | val acc 0.7654 | macroF1 0.5831
seed 2 | epoch 34/50 | train loss 1.2410 | val acc 0.7583 | macroF1 0.5900
seed 2 | epoch 35/50 | train loss 1.2361 | val acc 0.7786 | macroF1 0.6304
seed 2 | epoch 36/50 | train loss 1.2358 | val acc 0.7492 | macroF1 0.5912
seed 2 | epoch 37/50 | train loss 1.2189 | val acc 0.7776 | macroF1 0.6269
seed 2 | epoch 38/50 | train loss 1.2149 | val acc 0.7654 | macroF1 0.5982
seed 2 | epoch 39/50 | train loss 1.1972 | val acc 0.7654 | macroF1 0.6167
seed 2 | epoch 40/50 | train loss 1.1984 | val acc 0.7856 | macroF1 0.6071
seed 2 | epoch 41/50 | train loss 1.1923 | val acc 0.7877 | macroF1 0.6409  <- best
seed 2 | epoch 42/50 | train loss 1.1927 | val acc 0.7776 | macroF1 0.6071
seed 2 | epoch 43/50 | train loss 1.1803 | val acc 0.7634 | macroF1 0.6240
seed 2 | epoch 44/50 | train loss 1.1770 | val acc 0.7745 | macroF1 0.6212
seed 2 | epoch 45/50 | train loss 1.1817 | val acc 0.7765 | macroF1 0.6184
seed 2 | epoch 46/50 | train loss 1.1832 | val acc 0.7796 | macroF1 0.6302
seed 2 | epoch 47/50 | train loss 1.1806 | val acc 0.7695 | macroF1 0.6107
seed 2 | epoch 48/50 | train loss 1.1749 | val acc 0.7695 | macroF1 0.6036
seed 2 | epoch 49/50 | train loss 1.1682 | val acc 0.7705 | macroF1 0.6103
seed 2 | epoch 50/50 | train loss 1.1739 | val acc 0.7765 | macroF1 0.6328

seed 2 done | best val macroF1 0.6409 | test acc (TTA) 0.7663

seed 3 | epoch  1/50 | train loss 1.7546 | val acc 0.7007 | macroF1 0.2543  <- best
seed 3 | epoch  2/50 | train loss 1.6071 | val acc 0.6835 | macroF1 0.3266  <- best
seed 3 | epoch  3/50 | train loss 1.5798 | val acc 0.6835 | macroF1 0.3428  <- best
seed 3 | epoch  4/50 | train loss 1.5510 | val acc 0.6886 | macroF1 0.3451  <- best
seed 3 | epoch  5/50 | train loss 1.5319 | val acc 0.7078 | macroF1 0.3955  <- best
seed 3 | epoch  6/50 | train loss 1.5134 | val acc 0.7118 | macroF1 0.3824
seed 3 | epoch  7/50 | train loss 1.5010 | val acc 0.7331 | macroF1 0.4868  <- best
seed 3 | epoch  8/50 | train loss 1.4848 | val acc 0.7179 | macroF1 0.4772
seed 3 | epoch  9/50 | train loss 1.4776 | val acc 0.7280 | macroF1 0.4836
seed 3 | epoch 10/50 | train loss 1.4734 | val acc 0.6936 | macroF1 0.4273
seed 3 | epoch 11/50 | train loss 1.5004 | val acc 0.6603 | macroF1 0.3882
seed 3 | epoch 12/50 | train loss 1.5680 | val acc 0.6673 | macroF1 0.4137
seed 3 | epoch 13/50 | train loss 1.5220 | val acc 0.6411 | macroF1 0.3865
seed 3 | epoch 14/50 | train loss 1.5024 | val acc 0.7108 | macroF1 0.4328
seed 3 | epoch 15/50 | train loss 1.4812 | val acc 0.6946 | macroF1 0.4134
seed 3 | epoch 16/50 | train loss 1.4642 | val acc 0.7381 | macroF1 0.5156  <- best
seed 3 | epoch 17/50 | train loss 1.4280 | val acc 0.7300 | macroF1 0.5290  <- best
seed 3 | epoch 18/50 | train loss 1.4198 | val acc 0.7310 | macroF1 0.4848
seed 3 | epoch 19/50 | train loss 1.3952 | val acc 0.7533 | macroF1 0.5100
seed 3 | epoch 20/50 | train loss 1.3800 | val acc 0.7472 | macroF1 0.5248
seed 3 | epoch 21/50 | train loss 1.3835 | val acc 0.7341 | macroF1 0.5235
seed 3 | epoch 22/50 | train loss 1.3660 | val acc 0.7725 | macroF1 0.5525  <- best
seed 3 | epoch 23/50 | train loss 1.3589 | val acc 0.7674 | macroF1 0.5839  <- best
seed 3 | epoch 24/50 | train loss 1.3371 | val acc 0.7664 | macroF1 0.5621
seed 3 | epoch 25/50 | train loss 1.3332 | val acc 0.7563 | macroF1 0.5678
seed 3 | epoch 26/50 | train loss 1.3303 | val acc 0.7685 | macroF1 0.5720
seed 3 | epoch 27/50 | train loss 1.3076 | val acc 0.7755 | macroF1 0.5983  <- best
seed 3 | epoch 28/50 | train loss 1.3078 | val acc 0.7846 | macroF1 0.5985  <- best
seed 3 | epoch 29/50 | train loss 1.3073 | val acc 0.7624 | macroF1 0.5861
seed 3 | epoch 30/50 | train loss 1.2967 | val acc 0.7674 | macroF1 0.5705
seed 3 | epoch 31/50 | train loss 1.2862 | val acc 0.7705 | macroF1 0.5732
seed 3 | epoch 32/50 | train loss 1.2721 | val acc 0.7826 | macroF1 0.5796
seed 3 | epoch 33/50 | train loss 1.2749 | val acc 0.7846 | macroF1 0.5968
seed 3 | epoch 34/50 | train loss 1.2542 | val acc 0.7765 | macroF1 0.5832
